Player, Rnd, K, D, A, FK, FD, CL, LastAlive, KMax, Rating, ACS, ADR, KAST, HS%
Ethan,183,114,121,81,8,15,5,20,24,1.01,188.0,123.4,0.72,0.27
N4RRATE,370,244,258,140,27,28,9,32,21,1.00,193.5,124.8,0.74,0.23
bang,370,242,252,152,31,34,5,33,24,1.00,189.4,123.8,0.76,0.34
v1c,152,92,101,60,10,7,8,31,21,0.97,174.0,115.2,0.72,0.24
yay,128,85,89,25,20,13,3,11,18,0.97,193.7,129.3,0.62,0.3
jawgemo,221,167,169,66,43,33,2,12,21,0.97,217.3,136.7,0.72,0.18
Xeppaa,152,107,115,41,11,8,4,23,28,0.96,194.6,131.4,0.71,0.21
NaturE,128,77,86,36,5,9,3,14,18,0.95,171.7,117.3,0.69,0.25
adverso,246,157,169,77,19,24,7,24,21,0.94,186.3,122.3,0.71,0.19
C0M,148,103,106,38,9,11,3,18,27,0.94,195.9,132.2,0.74,0.21
icy,128,95,99,20,18,25,1,16,19,0.94,216.5,141.0,0.66,0.21
cauanzin,204,142,153,49,26,27,1,8,22,0.94,211.4,138.0,0.65,0.28
Verno,183,116,120,42,11,12,2,23,24,0.94,172.1,114.4,0.77,0.33
nzr,373,216,250,122,14,13,4,49,23,0.93,172.3,118.8,0.69,0.27
Demon1,148,103,111,44,12,23,0,9,23,0.90,198.1,137.2,0.7,0.26
Add3r,38,28,28,3,4,6,0,1,18,0.89,194.5,126.2,0.66,0.33
Mazino,246,159,178,110,22,31,2,20,21,0.89,182.5,118.3,0.72,0.27
zander,170,100,113,56,18,17,4,19,19,0.89,171.6,106.7,0.74,0.25
tuyz,204,113,134,50,17,17,6,17,16,0.88,158.6,103.0,0.7,0.31
v1nny,204,111,135,79,7,16,3,25,20,0.88,153.8,108.2,0.72,0.34
OXY,152,118,127,30,25,33,1,6,24,0.88,222.0,145.7,0.66,0.23
mwzera,80,44,55,23,7,7,0,8,16,0.87,166.3,111.6,0.66,0.18
cortezia,373,245,267,67,31,30,2,33,29,0.86,184.4,125.6,0.67,0.34
havoc,80,57,66,18,14,13,0,6,15,0.86,220.0,146.8,0.7,0.24
artzin,373,243,288,112,49,71,4,22,28,0.85,192.8,126.4,0.68,0.18
Derrek,128,78,94,44,5,12,1,19,20,0.85,174.8,115.3,0.73,0.35
neT,152,95,110,35,13,15,2,20,18,0.83,174.7,116.2,0.68,0.4
mitch,152,79,111,71,12,18,2,14,17,0.80,163.0,103.2,0.67,0.2
lz,69,42,57,18,8,12,2,10,14,0.80,171.3,118.0,0.61,0.44
FiNESSE,183,86,126,59,9,18,1,20,16,0.79,145.1,99.6,0.68,0.18
heat,80,49,59,7,7,10,1,9,16,0.79,172.5,116.1,0.61,0.41
silentzz,69,44,62,11,15,11,0,9,16,0.75,188.5,122.1,0.65,0.4
pryze,69,32,52,21,2,1,0,11,13,0.70,149.5,96.0,0.71,0.23
Boostio,170,81,119,56,9,12,1,14,14,0.69,138.0,85.7,0.69,0.23
raafa,80,35,63,20,2,10,1,12,12,0.60,136.3,93.7,0.55,0.21
Zap,69,28,57,17,2,7,0,4,9,0.51,128.3,92.8,0.62,0.19
Karon,304,224,179,138,14,24,4,33,24,1.20,205.2,135.9,0.78,0.32
Jemkin,269,245,190,60,59,42,2,22,38,1.20,257.4,164.2,0.75,0.27
Meiy,180,159,131,29,32,20,5,18,32,1.19,240.4,161.3,0.72,0.31
primmie,217,189,145,42,11,13,3,23,25,1.19,234.8,152.2,0.75,0.36
free1ng,297,241,195,70,30,20,6,33,28,1.16,222.2,146.5,0.75,0.29
BerserX,123,92,77,22,9,11,2,19,22,1.14,208.8,145.1,0.73,0.25
Kushy,269,200,175,86,22,16,4,23,22,1.14,222.2,142.6,0.74,0.34
MaKo,297,210,193,143,26,27,8,30,25,1.12,204.8,134.8,0.78,0.26
f0rsakeN,140,111,101,53,13,12,0,12,24,1.12,221.6,148.5,0.78,0.35
Ivy,319,232,200,112,22,16,12,47,35,1.11,195.8,124.4,0.78,0.3
HYUNMIN,297,255,221,49,65,40,2,18,29,1.11,245.4,165.5,0.73,0.28
Francis,319,235,219,126,24,24,4,38,23,1.10,218.8,144.7,0.76,0.23
Kr1stal,164,115,107,46,17,14,4,22,19,1.10,207.3,139.0,0.72,0.24
JessieVash,111,87,80,25,8,7,3,22,22,1.10,217.8,155.5,0.68,0.36
Persia,319,216,203,151,17,19,8,37,35,1.09,191.2,125.5,0.78,0.27
JitBoyS,217,154,143,69,20,14,5,25,19,1.09,190.2,125.0,0.73,0.34
Estrella,269,173,166,125,17,18,8,41,28,1.08,181.4,122.0,0.77,0.31
BuZz,483,391,362,101,100,76,7,35,28,1.07,236.6,154.8,0.71,0.19
Jinggg,140,108,98,23,20,22,1,12,21,1.04,218.1,143.6,0.71,0.2
Dep,83,65,63,16,12,16,2,6,21,1.04,227.0,135.2,0.64,0.28
Famouz,123,97,91,24,24,24,2,13,24,1.04,230.5,142.9,0.72,0.13
Munchkin,304,205,199,113,30,26,2,31,22,1.03,202.4,130.3,0.75,0.24
carpe,297,187,206,159,19,16,6,43,19,1.02,180.8,117.9,0.75,0.34
yoman,304,185,185,93,18,17,2,35,22,1.00,172.1,108.5,0.74,0.3
Akame,180,123,131,58,19,14,2,17,24,1.00,201.9,129.5,0.76,0.31
d4v41,140,97,98,44,9,10,2,15,27,1.00,194.0,139.0,0.79,0.32
dos9,123,77,86,50,9,5,3,23,20,1.00,180.2,114.6,0.78,0.28
iZu,483,321,316,108,34,42,6,59,29,1.00,183.5,126.7,0.72,0.28
Papi,164,103,104,52,13,7,5,27,16,1.00,174.0,112.8,0.73,0.39
stax,483,292,314,190,27,29,6,62,28,0.99,169.7,116.8,0.72,0.26
Monyet,269,179,175,87,18,31,3,13,27,0.99,187.9,120.3,0.72,0.31
t3xture,304,248,222,41,56,69,3,17,35,0.99,222.4,141.8,0.65,0.24
something,140,103,102,31,22,20,3,22,21,0.98,210.4,131.3,0.72,0.22
UdoTan,164,125,125,22,22,32,0,8,23,0.98,217.9,138.5,0.66,0.26
Foxy9,304,211,204,48,25,25,7,33,23,0.97,194.5,125.3,0.66,0.34
xffero,269,177,173,68,23,23,4,35,31,0.97,180.6,121.3,0.75,0.27
margaret,319,206,215,73,43,27,3,36,31,0.96,180.7,122.0,0.72,0.28
BeYN,297,165,187,118,15,15,3,33,23,0.95,159.9,106.1,0.75,0.27
Flashback,297,188,197,74,25,34,4,39,22,0.94,183.9,121.8,0.74,0.24
Sylvan,186,111,128,98,10,20,5,20,19,0.93,176.3,118.7,0.76,0.26
Meteor,483,346,357,86,50,61,4,46,25,0.93,203.2,136.6,0.66,0.28
Shiro,123,72,88,57,15,12,1,7,18,0.92,174.5,114.0,0.75,0.2
Jinboong,180,111,121,41,11,21,3,24,21,0.92,169.6,111.8,0.7,0.34
gyen,180,110,122,51,14,13,3,27,27,0.91,168.0,110.1,0.66,0.27
mindfreak,140,82,99,62,6,6,2,15,19,0.90,168.6,110.9,0.7,0.3
invy,111,66,83,50,6,7,1,12,22,0.89,173.8,117.1,0.79,0.32
ban,217,139,148,44,22,27,4,31,19,0.89,183.7,117.4,0.67,0.34
Jremy,111,83,83,9,19,18,1,7,21,0.89,215.3,130.4,0.61,0.26
Deryeon,164,95,107,29,11,19,2,20,18,0.89,155.3,107.4,0.67,0.26
Dambi,319,226,258,111,66,60,3,15,26,0.87,218.5,135.7,0.73,0.2
Art,180,104,130,54,14,21,2,17,16,0.85,177.0,115.6,0.68,0.19
kellyS,164,97,123,52,13,14,0,9,24,0.85,175.1,118.4,0.67,0.25
2GE,111,63,78,37,13,15,2,14,18,0.84,166.0,101.6,0.72,0.16
Wild0reoo,111,59,78,16,10,8,0,11,17,0.80,164.0,112.8,0.66,0.33
