Player,Rnd,K,D,A,FK,FD,CL,LastAlive,KMax,Rating,ACS,ADR,KAST,HS%,KD,KDA,KPR,DPR,APR,FKPR,FDPR,CLPR,LastAlivePR,CL%,BaitScore
2ge,382,213,280,134,27,43,4,53,19,0.82,165.5,106.64,0.68,0.21,0.76,1.24,0.56,0.73,0.35,0.07,0.11,0.01,0.14,0.08,0.3
add3r,38,28,28,3,4,6,0,1,18,0.89,194.5,126.2,0.66,0.33,1.0,1.11,0.74,0.74,0.08,0.11,0.16,0.0,0.03,0.0,0.33
adverso,569,338,389,162,38,51,12,50,21,0.91,175.23,119.18,0.7,0.2,0.87,1.29,0.59,0.68,0.28,0.07,0.09,0.02,0.09,0.24,0.27
akame,405,295,302,126,50,39,4,51,32,1.06,208.01,136.89,0.73,0.32,0.98,1.39,0.73,0.75,0.31,0.12,0.1,0.01,0.13,0.08,0.4
alfajer,486,372,351,91,66,46,5,41,32,0.99,211.7,142.47,0.69,0.28,1.06,1.32,0.77,0.72,0.19,0.14,0.09,0.01,0.08,0.12,0.48
ange1,370,188,262,96,31,33,7,29,15,0.76,152.45,104.08,0.68,0.33,0.72,1.08,0.51,0.71,0.26,0.08,0.09,0.02,0.08,0.24,0.22
ara,106,85,78,16,21,17,0,11,22,1.04,229.8,146.7,0.77,0.24,1.09,1.29,0.8,0.74,0.15,0.2,0.16,0.0,0.1,0.0,0.75
art,405,198,312,123,23,49,2,35,16,0.72,154.06,102.93,0.64,0.2,0.63,1.03,0.49,0.77,0.3,0.06,0.12,0.0,0.09,0.06,0.18
artzin,873,542,671,309,101,132,8,54,28,0.82,186.9,121.93,0.69,0.21,0.81,1.27,0.62,0.77,0.35,0.12,0.15,0.01,0.06,0.15,0.14
ash,342,221,196,86,19,20,6,35,19,1.06,181.8,121.9,0.73,0.3,1.13,1.57,0.65,0.57,0.25,0.06,0.06,0.02,0.1,0.17,0.46
askia,234,161,171,35,35,37,4,24,20,0.92,194.0,134.0,0.65,0.32,0.94,1.15,0.69,0.73,0.15,0.15,0.16,0.02,0.1,0.17,0.65
aspas,873,768,564,117,170,119,15,83,37,1.22,244.56,157.04,0.75,0.25,1.36,1.57,0.88,0.65,0.13,0.19,0.14,0.02,0.1,0.18,0.97
asuna,578,410,440,166,102,101,11,36,23,0.96,211.29,139.46,0.71,0.23,0.93,1.31,0.71,0.76,0.29,0.18,0.17,0.02,0.06,0.31,0.2
atakaptan,472,299,344,217,31,38,12,51,31,0.96,183.22,118.37,0.72,0.29,0.87,1.5,0.63,0.73,0.46,0.07,0.08,0.03,0.11,0.24,0.2
avez,451,324,298,126,30,41,5,34,25,1.06,208.41,133.94,0.73,0.34,1.09,1.51,0.72,0.66,0.28,0.07,0.09,0.01,0.08,0.15,0.29
avova,366,206,262,136,22,20,10,64,19,0.9,169.55,110.97,0.72,0.31,0.79,1.31,0.56,0.72,0.37,0.06,0.05,0.03,0.17,0.16,0.37
ban,217,139,148,44,22,27,4,31,19,0.89,183.7,117.4,0.67,0.34,0.94,1.24,0.64,0.68,0.2,0.1,0.12,0.02,0.14,0.13,0.66
bang,858,604,564,342,83,75,17,69,24,1.06,199.31,126.46,0.75,0.34,1.07,1.68,0.7,0.66,0.4,0.1,0.09,0.02,0.08,0.25,0.22
batujnax,320,205,246,77,33,41,2,39,27,0.85,181.28,118.22,0.69,0.25,0.83,1.15,0.64,0.77,0.24,0.1,0.13,0.01,0.12,0.05,0.42
bdog,38,28,21,21,2,0,0,8,16,1.28,212.5,125.5,0.79,0.35,1.33,2.33,0.74,0.55,0.55,0.05,0.0,0.0,0.21,0.0,0.51
benjyfishy,428,274,290,94,27,35,5,43,22,0.9,175.62,119.53,0.73,0.36,0.94,1.27,0.64,0.68,0.22,0.06,0.08,0.01,0.1,0.12,0.43
berserx,467,328,301,94,42,37,15,70,22,1.04,199.37,132.28,0.73,0.25,1.09,1.4,0.7,0.64,0.2,0.09,0.08,0.03,0.15,0.21,0.81
beyn,846,509,539,302,55,50,16,95,23,1.0,172.61,113.65,0.74,0.26,0.94,1.5,0.6,0.64,0.36,0.07,0.06,0.02,0.11,0.17,0.3
biank,74,41,57,18,5,6,2,9,14,0.85,166.8,115.6,0.59,0.19,0.72,1.04,0.55,0.77,0.24,0.07,0.08,0.03,0.12,0.22,0.36
boaster,486,282,302,198,44,40,13,47,29,0.96,163.93,107.51,0.71,0.22,0.93,1.59,0.58,0.62,0.41,0.09,0.08,0.03,0.1,0.28,0.22
boo,428,245,267,192,29,31,7,65,23,0.97,161.05,105.21,0.74,0.35,0.92,1.64,0.57,0.62,0.45,0.07,0.07,0.02,0.15,0.11,0.31
boostio,578,292,428,167,40,50,3,55,24,0.73,148.16,98.41,0.66,0.28,0.68,1.07,0.51,0.74,0.29,0.07,0.09,0.01,0.1,0.05,0.22
brawk,275,183,186,84,12,18,2,35,19,0.99,185.0,126.7,0.75,0.19,0.98,1.44,0.67,0.68,0.31,0.04,0.07,0.01,0.13,0.06,0.41
